2017-06-15(Thu)|1,00:00~00:30,5696027|2,00:30~01:00,9320541|3,01:00~01:30,14010954|4,01:30~02:00,3342726|5,02:00~02:30,6318661|6,02:30~03:00,3298044|7,03:00~03:30,8194272|8,03:30~04:00,7800591|9,04:00~04:30,9101809|10,04:30~05:00,14059791|11,05:00~05:30,8829945|12,05:30~06:00,6598927|13,06:00~06:30,2009519|14,06:30~07:00,233912|15,07:00~07:30,11564678|16,07:30~08:00,184880|17,08:00~08:30,626193|18,08:30~09:00,404084|19,09:00~09:30,903309|20,09:30~10:00,1310983|21,10:00~10:30,1382556|22,10:30~11:00,1595410|23,11:00~11:30,1554627|24,11:30~12:00,1419358|25,12:00~12:30,1276849|26,12:30~13:00,1171174|27,13:00~13:30,1396640|28,13:30~14:00,1608463|29,14:00~14:30,1631558|30,14:30~15:00,1769620|31,15:00~15:30,1736821|32,15:30~16:00,1997703|33,16:00~16:30,1651651|34,16:30~17:00,1667642|35,17:00~17:30,6736368|36,17:30~18:00,1704172|37,18:00~18:30,1715109|38,18:30~19:00,1113780|39,19:00~19:30,962690|40,19:30~20:00,909276|41,20:00~20:30,720375|42,20:30~21:00,487282|43,21:00~21:30,336852|44,21:30~22:00,498149|45,22:00~22:30,3675856|46,22:30~23:00,9684737|47,23:00~23:30,6769815|48,23:30~24:00,132279|
2017-06-16(Fri)|1,00:00~00:30,2983126|2,00:30~01:00,9657756|3,01:00~01:30,17822410|4,01:30~02:00,3411685|5,02:00~02:30,3336447|6,02:30~03:00,1522959|7,03:00~03:30,6659207|8,03:30~04:00,6099549|9,04:00~04:30,9505523|10,04:30~05:00,14666732|11,05:00~05:30,9583968|12,05:30~06:00,5298533|13,06:00~06:30,2362029|14,06:30~07:00,248872|15,07:00~07:30,11782265|16,07:30~08:00,198133|17,08:00~08:30,625611|18,08:30~09:00,382428|19,09:00~09:30,1300304|20,09:30~10:00,1481721|21,10:00~10:30,1411607|22,10:30~11:00,2423898|23,11:00~11:30,2047951|24,11:30~12:00,1610274|25,12:00~12:30,1326044|26,12:30~13:00,1151172|27,13:00~13:30,1261520|28,13:30~14:00,1485546|29,14:00~14:30,1547837|30,14:30~15:00,1793986|31,15:00~15:30,1781186|32,15:30~16:00,1746213|33,16:00~16:30,1907887|34,16:30~17:00,1827885|35,17:00~17:30,1688844|36,17:30~18:00,1692111|37,18:00~18:30,1325696|38,18:30~19:00,1230707|39,19:00~19:30,1025152|40,19:30~20:00,1193860|41,20:00~20:30,569781|42,20:30~21:00,443207|43,21:00~21:30,1607762|44,21:30~22:00,533018|45,22:00~22:30,4981279|46,22:30~23:00,5235834|47,23:00~23:30,6744387|48,23:30~24:00,181961|
2017-06-17(Sat)|1,00:00~00:30,2766820|2,00:30~01:00,9975917|3,01:00~01:30,17621962|4,01:30~02:00,3313942|5,02:00~02:30,2632536|6,02:30~03:00,486789|7,03:00~03:30,11531299|8,03:30~04:00,10126663|9,04:00~04:30,9317685|10,04:30~05:00,14038525|11,05:00~05:30,6398662|12,05:30~06:00,52803|13,06:00~06:30,2303486|14,06:30~07:00,166062|15,07:00~07:30,11531879|16,07:30~08:00,139316|17,08:00~08:30,494223|18,08:30~09:00,238959|19,09:00~09:30,370913|20,09:30~10:00,535015|21,10:00~10:30,544997|22,10:30~11:00,734723|23,11:00~11:30,948294|24,11:30~12:00,859838|25,12:00~12:30,784225|26,12:30~13:00,732705|27,13:00~13:30,711914|28,13:30~14:00,735491|29,14:00~14:30,915889|30,14:30~15:00,913165|31,15:00~15:30,889123|32,15:30~16:00,867828|33,16:00~16:30,865225|34,16:30~17:00,834424|35,17:00~17:30,823769|36,17:30~18:00,829334|37,18:00~18:30,800701|38,18:30~19:00,779869|39,19:00~19:30,761002|40,19:30~20:00,755084|41,20:00~20:30,427340|42,20:30~21:00,310079|43,21:00~21:30,260043|44,21:30~22:00,347993|45,22:00~22:30,4038174|46,22:30~23:00,4480594|47,23:00~23:30,6709206|48,23:30~24:00,99697|
2017-06-18(Sun)|1,00:00~00:30,2413836|2,00:30~01:00,9464018|3,01:00~01:30,17128147|4,01:30~02:00,178590|5,02:00~02:30,4272909|6,02:30~03:00,5552016|7,03:00~03:30,951539|8,03:30~04:00,89425|9,04:00~04:30,136059|10,04:30~05:00,5039220|11,05:00~05:30,89115|12,05:30~06:00,36167|13,06:00~06:30,2185327|14,06:30~07:00,146038|15,07:00~07:30,11595564|16,07:30~08:00,81847|17,08:00~08:30,146780|18,08:30~09:00,130984|19,09:00~09:30,219090|20,09:30~10:00,220851|21,10:00~10:30,268588|22,10:30~11:00,315299|23,11:00~11:30,383592|24,11:30~12:00,404840|25,12:00~12:30,428257|26,12:30~13:00,428473|27,13:00~13:30,443424|28,13:30~14:00,460037|29,14:00~14:30,464502|30,14:30~15:00,495180|31,15:00~15:30,519127|32,15:30~16:00,519831|33,16:00~16:30,534958|34,16:30~17:00,529397|35,17:00~17:30,535188|36,17:30~18:00,522049|37,18:00~18:30,537738|38,18:30~19:00,545601|39,19:00~19:30,541431|40,19:30~20:00,520358|41,20:00~20:30,316667|42,20:30~21:00,252869|43,21:00~21:30,232853|44,21:30~22:00,269817|45,22:00~22:30,3816556|46,22:30~23:00,4588386|47,23:00~23:30,6736637|48,23:30~24:00,88860|
2017-06-19(Mon)|1,00:00~00:30,2321963|2,00:30~01:00,9421587|3,01:00~01:30,16988482|4,01:30~02:00,238302|5,02:00~02:30,4876506|6,02:30~03:00,91805|7,03:00~03:30,110167|8,03:30~04:00,77421|9,04:00~04:30,405292|10,04:30~05:00,5357673|11,05:00~05:30,430084|12,05:30~06:00,134514|13,06:00~06:30,1946515|14,06:30~07:00,202895|15,07:00~07:30,11925726|16,07:30~08:00,154945|17,08:00~08:30,530474|18,08:30~09:00,521793|19,09:00~09:30,2094400|20,09:30~10:00,2135766|21,10:00~10:30,1451956|22,10:30~11:00,1729876|23,11:00~11:30,2308710|24,11:30~12:00,1760769|25,12:00~12:30,1483496|26,12:30~13:00,1466597|27,13:00~13:30,1422696|28,13:30~14:00,1580676|29,14:00~14:30,1664886|30,14:30~15:00,1812338|31,15:00~15:30,2213918|32,15:30~16:00,1957469|33,16:00~16:30,1844627|34,16:30~17:00,2169767|35,17:00~17:30,1796194|36,17:30~18:00,3297019|37,18:00~18:30,2012663|38,18:30~19:00,1661800|39,19:00~19:30,1046942|40,19:30~20:00,1060056|41,20:00~20:30,581278|42,20:30~21:00,404010|43,21:00~21:30,296173|44,21:30~22:00,410753|45,22:00~22:30,3123077|46,22:30~23:00,1619799|47,23:00~23:30,7056416|48,23:30~24:00,4307743|
2017-06-20(Tue)|1,00:00~00:30,2137516|2,00:30~01:00,2725667|3,01:00~01:30,14472394|4,01:30~02:00,7174513|5,02:00~02:30,2144854|6,02:30~03:00,4769021|7,03:00~03:30,167690|8,03:30~04:00,7598281|9,04:00~04:30,9480416|10,04:30~05:00,15924089|11,05:00~05:30,9325477|12,05:30~06:00,5168630|13,06:00~06:30,2348328|14,06:30~07:00,95870|15,07:00~07:30,12034994|16,07:30~08:00,145257|17,08:00~08:30,500294|18,08:30~09:00,332485|19,09:00~09:30,1083083|20,09:30~10:00,1060821|21,10:00~10:30,1380245|22,10:30~11:00,1578727|23,11:00~11:30,1632040|24,11:30~12:00,1548189|25,12:00~12:30,1487293|26,12:30~13:00,1212748|27,13:00~13:30,1466507|28,13:30~14:00,1781434|29,14:00~14:30,1702305|30,14:30~15:00,1825120|31,15:00~15:30,1989207|32,15:30~16:00,1762358|33,16:00~16:30,1864992|34,16:30~17:00,2025500|35,17:00~17:30,1975678|36,17:30~18:00,1931650|37,18:00~18:30,1421275|38,18:30~19:00,1049629|39,19:00~19:30,902655|40,19:30~20:00,845604|41,20:00~20:30,504833|42,20:30~21:00,359215|43,21:00~21:30,291426|44,21:30~22:00,378251|45,22:00~22:30,5892163|46,22:30~23:00,6558411|47,23:00~23:30,7012380|48,23:30~24:00,101492|
2017-06-21(Wed)|1,00:00~00:30,3082603|2,00:30~01:00,7296868|3,01:00~01:30,20601389|4,01:30~02:00,123019|5,02:00~02:30,2019005|6,02:30~03:00,160734|7,03:00~03:30,1344461|8,03:30~04:00,7099169|9,04:00~04:30,10005899|10,04:30~05:00,16019274|11,05:00~05:30,10031430|12,05:30~06:00,2245719|13,06:00~06:30,2448128|14,06:30~07:00,99725|15,07:00~07:30,13692303|16,07:30~08:00,167182|17,08:00~08:30,657907|18,08:30~09:00,367433|19,09:00~09:30,979997|20,09:30~10:00,1311234|21,10:00~10:30,1390067|22,10:30~11:00,1800597|23,11:00~11:30,1602823|24,11:30~12:00,1577840|25,12:00~12:30,1348443|26,12:30~13:00,1152021|27,13:00~13:30,1515249|28,13:30~14:00,1483683|29,14:00~14:30,1827920|30,14:30~15:00,1702264|31,15:00~15:30,2111553|32,15:30~16:00,1893690|33,16:00~16:30,2516564|34,16:30~17:00,1865022|35,17:00~17:30,2458110|36,17:30~18:00,8476819|37,18:00~18:30,2062120|38,18:30~19:00,1910191|39,19:00~19:30,1069819|40,19:30~20:00,981030|41,20:00~20:30,755756|42,20:30~21:00,426784|43,21:00~21:30,328662|44,21:30~22:00,377933|45,22:00~22:30,2681820|46,22:30~23:00,7838829|47,23:00~23:30,7063678|48,23:30~24:00,367732|
2017-06-22(Thu)|1,00:00~00:30,1799208|2,00:30~01:00,3455776|3,01:00~01:30,21486662|4,01:30~02:00,443759|5,02:00~02:30,2366706|6,02:30~03:00,371943|7,03:00~03:30,535067|8,03:30~04:00,8396247|9,04:00~04:30,10066428|10,04:30~05:00,15623010|11,05:00~05:30,10153537|12,05:30~06:00,1146953|13,06:00~06:30,2425104|14,06:30~07:00,98945|15,07:00~07:30,13768526|16,07:30~08:00,170772|17,08:00~08:30,537223|18,08:30~09:00,382987|19,09:00~09:30,1070872|20,09:30~10:00,1272346|21,10:00~10:30,1528489|22,10:30~11:00,1655680|23,11:00~11:30,1700974|24,11:30~12:00,1723084|25,12:00~12:30,1388473|26,12:30~13:00,1273075|27,13:00~13:30,1421496|28,13:30~14:00,1803835|29,14:00~14:30,1655131|30,14:30~15:00,1770760|31,15:00~15:30,2256880|32,15:30~16:00,1865903|33,16:00~16:30,1738491|34,16:30~17:00,1927555|35,17:00~17:30,1779208|36,17:30~18:00,1823717|37,18:00~18:30,1571111|38,18:30~19:00,1106599|39,19:00~19:30,974956|40,19:30~20:00,6743441|41,20:00~20:30,19236879|42,20:30~21:00,423888|43,21:00~21:30,331991|44,21:30~22:00,587657|45,22:00~22:30,51851664|46,22:30~23:00,27314610|47,23:00~23:30,24704120|48,23:30~24:00,6072697|
2017-06-23(Fri)|1,00:00~00:30,1787175|2,00:30~01:00,3076972|3,01:00~01:30,22756453|4,01:30~02:00,1303060|5,02:00~02:30,2522385|6,02:30~03:00,298467|7,03:00~03:30,2846488|8,03:30~04:00,9644477|9,04:00~04:30,8970100|10,04:30~05:00,15867947|11,05:00~05:30,7163936|12,05:30~06:00,235720|13,06:00~06:30,2520659|14,06:30~07:00,150965|15,07:00~07:30,13949431|16,07:30~08:00,250760|17,08:00~08:30,696200|18,08:30~09:00,402496|19,09:00~09:30,1501167|20,09:30~10:00,1579631|21,10:00~10:30,1562150|22,10:30~11:00,1904867|23,11:00~11:30,1755871|24,11:30~12:00,2048321|25,12:00~12:30,1440792|26,12:30~13:00,1346960|27,13:00~13:30,1350948|28,13:30~14:00,1589049|29,14:00~14:30,1769594|30,14:30~15:00,1914836|31,15:00~15:30,2049127|32,15:30~16:00,1933726|33,16:00~16:30,1943579|34,16:30~17:00,2043741|35,17:00~17:30,4842896|36,17:30~18:00,1887331|37,18:00~18:30,2003208|38,18:30~19:00,1487026|39,19:00~19:30,1198412|40,19:30~20:00,1100660|41,20:00~20:30,597348|42,20:30~21:00,433039|43,21:00~21:30,380089|44,21:30~22:00,556975|45,22:00~22:30,3867695|46,22:30~23:00,8059361|47,23:00~23:30,7534361|48,23:30~24:00,13243076|
2017-06-24(Sat)|1,00:00~00:30,3834786|2,00:30~01:00,2181804|3,01:00~01:30,23760351|4,01:30~02:00,8219963|5,02:00~02:30,3047140|6,02:30~03:00,182328|7,03:00~03:30,5496321|8,03:30~04:00,9669646|9,04:00~04:30,9325054|10,04:30~05:00,16521371|11,05:00~05:30,2723013|12,05:30~06:00,98486|13,06:00~06:30,2476512|14,06:30~07:00,125605|15,07:00~07:30,13689720|16,07:30~08:00,197543|17,08:00~08:30,491040|18,08:30~09:00,266363|19,09:00~09:30,417411|20,09:30~10:00,520205|21,10:00~10:30,607366|22,10:30~11:00,844819|23,11:00~11:30,882880|24,11:30~12:00,866070|25,12:00~12:30,812138|26,12:30~13:00,781534|27,13:00~13:30,785202|28,13:30~14:00,779291|29,14:00~14:30,814136|30,14:30~15:00,876613|31,15:00~15:30,844392|32,15:30~16:00,915213|33,16:00~16:30,861620|34,16:30~17:00,887780|35,17:00~17:30,842387|36,17:30~18:00,832375|37,18:00~18:30,800306|38,18:30~19:00,786961|39,19:00~19:30,748917|40,19:30~20:00,722170|41,20:00~20:30,402889|42,20:30~21:00,293627|43,21:00~21:30,251674|44,21:30~22:00,403855|45,22:00~22:30,3346489|46,22:30~23:00,196586|47,23:00~23:30,6010885|48,23:30~24:00,86471|
2017-06-25(Sun)|1,00:00~00:30,7412|2,00:30~01:00,0|3,01:00~01:30,0|4,01:30~02:00,0|5,02:00~02:30,0|6,02:30~03:00,0|7,03:00~03:30,0|8,03:30~04:00,0|9,04:00~04:30,0|10,04:30~05:00,69424|11,05:00~05:30,2522|12,05:30~06:00,244176|13,06:00~06:30,190346|14,06:30~07:00,6381040|15,07:00~07:30,18031627|16,07:30~08:00,15595385|17,08:00~08:30,8961261|18,08:30~09:00,181988|19,09:00~09:30,743605|20,09:30~10:00,12099929|21,10:00~10:30,252802|22,10:30~11:00,268497|23,11:00~11:30,277490|24,11:30~12:00,271812|25,12:00~12:30,278428|26,12:30~13:00,276399|27,13:00~13:30,274560|28,13:30~14:00,280778|29,14:00~14:30,280670|30,14:30~15:00,287974|31,15:00~15:30,282143|32,15:30~16:00,13357342|33,16:00~16:30,43158038|34,16:30~17:00,275828|35,17:00~17:30,281083|36,17:30~18:00,276031|37,18:00~18:30,275687|38,18:30~19:00,284558|39,19:00~19:30,282389|40,19:30~20:00,267970|41,20:00~20:30,245517|42,20:30~21:00,277564|43,21:00~21:30,221621|44,21:30~22:00,251637|45,22:00~22:30,3993883|46,22:30~23:00,6582754|47,23:00~23:30,6968102|48,23:30~24:00,86605|
